obs_id,true_value,meas_value,corr_value,diff(%)
19, 20.1937  6.65977  1.18179 -0.64807,  19.5976   6.55712   1.21558 -0.633281,  19.7687   6.57422   1.19018 -0.604028, -2.1047 -1.28453 0.709847 -6.79598
22, 21.3885  3.01895 0.692302 -1.19072, 21.3918  2.82902 0.708882  -1.2127, 21.4316  2.85399 0.706475 -1.21969,0.201806 -5.46439  2.04717  2.43263
24,-0.444015   8.22635  -1.08467  -1.03876,-0.442288   8.16548  -1.14314  -1.04614,-0.51883  8.12199 -1.12654  -1.0383,   16.8495   -1.26859    3.85972 -0.0436094
1,  18.0244   12.1599   0.81513 -0.615168,  18.2172   12.1389   0.79654 -0.578777, 18.1268   12.131 0.796872 -0.60928, 0.568266 -0.238083  -2.23986 -0.957144
2,  12.9778    32.625 -0.814928  0.728628,  13.0489   32.5301 -0.830274  0.734208,  12.9882   32.6065 -0.808367  0.721355,0.0799736 -0.056709   -0.8051 -0.998131
3, 25.4866  28.3008 0.800367 0.913709, 25.7263  28.0052 0.772264  0.90097, 25.6021  28.1601 0.789953 0.908263, 0.453267 -0.496888  -1.30105 -0.596125
4, 29.0167  8.07039  1.19331 -0.90761,  29.3906   7.67289   1.19171 -0.854947,  29.3699   7.80776   1.18187 -0.887054,  1.21745  -3.25425 -0.958818  -2.26481
8, 16.2838  21.1648 0.705534 0.888365,  16.348  21.1977 0.801658 0.842665, 16.3427  21.1967 0.768791 0.847867,0.362019 0.150787  8.96587 -4.55871
10, 13.9542  31.1813 -1.01197  0.92036, 14.0032  31.0201 -1.07034 0.859318, 14.0054  31.0892 -1.06913 0.870517, 0.367318 -0.295535   5.64822  -5.41558
12,  4.49376   9.60709  -1.15554 -0.976513, 4.90425  9.09329 -1.18163 -1.01007,  4.78387   9.18691  -1.17692 -0.988758, 6.45565 -4.37364  1.85058  1.25397
13, 17.2731  31.7489 0.997106  1.19529,17.0478 31.7923 1.02895 1.18516,17.0749 31.8123 1.03443 1.19982, -1.1478 0.199729  3.74336 0.379024
14,  11.5611   -1.2355  0.812975 -0.866144,  11.3974  -1.14942  0.832066 -0.824241, 11.4586  -1.2302 0.812303 -0.83822, -0.886378  -0.428682 -0.0826133   -3.22398
15,-0.959775    10.389 -0.624999 -0.719579,    -1.32   10.3057 -0.625282 -0.721904, -1.22653   10.3294 -0.626549 -0.721203,  27.7936 -0.573584  0.248061  0.225653
16, 19.6769  30.6981 0.992117 0.773403, 20.0011  30.6073 0.992811 0.857403, 19.9156  30.6718 0.984224   0.8183,  1.21297  -0.08578 -0.795592   5.80519
18,  25.1085   12.6967   0.96444 -0.630509,25.4629 12.5708 1.02377 -0.6044,  25.4188   12.5219  0.997523 -0.604768, 1.23568 -1.37687  3.43033 -4.08261
19, 20.2331  6.63816  1.18179 -0.64807,  20.2518   6.42333   1.18932 -0.638993,  20.1519    6.4527   1.18971 -0.625654,-0.40132 -2.79395 0.670063 -3.45888
22, 21.4115  2.97926 0.692302 -1.19072, 21.9115  2.78887 0.682175  -1.2815, 21.8087  2.79426 0.691516 -1.25789, 1.85503 -6.20987 -0.11363  5.64136
24,-0.480171   8.19172  -1.08467  -1.03876,-0.82216  8.00363 -1.08358 -1.04317,-0.762237   8.02247  -1.10002  -1.04132, 58.7429  -2.0661  1.41523 0.246933
1,  18.0516   12.1394   0.81513 -0.615168,  18.0057   12.0787  0.785694 -0.523225,   18.039    12.086  0.789945 -0.556099,-0.0698948  -0.439693   -3.08972   -9.60201
2,  12.9507   32.6493 -0.814928  0.728628,  12.9613   32.7586 -0.830494  0.665469,  12.9613   32.7297 -0.822042  0.686832,0.081813 0.246331 0.873011 -5.73623
